company,job,location,money
上海泛微网络科技股份有限公司,运维工程师（python自动化运维）,上海-闵行区,0.7-1万/月
深圳市尚诚信息技术有限公司,初级Python开发工程师,深圳-福田区,6-8千/月
武汉恒博软件技术有限公司,Python开发工程师+实习生（大数据方向）,荆州,4.5-6千/月
恒企教育,Python工程师（课程研发方向）,广州-白云区,0.8-1.5万/月
上海豌豆信息技术有限公司,Python研发工程师,上海,0.7-1万/月
重庆柏思睿特网络安全技术有限公司,Python开发工程师,重庆-渝北区,0.8-1.5万/月
深圳市科力锐科技有限公司,自动化测试工程师（Python）,重庆-渝中区,6-8千/月
西安优逸客网络科技有限公司,Python开发工程师,西安-雁塔区,4-7.9千/月
青岛青科世纪信息技术有限公司,Python开发工程师,青岛-崂山区,0.6-1万/月
北京多来点信息技术有限公司,Python后端开发工程师,北京-西城区,1.5-2.5万/月
黑龙江中软国际信息技术有限公司,Python讲师助理,哈尔滨-南岗区,3-4.5千/月
北京安必奇生物科技有限公司,ERP实施顾问(Python开发),成都,1-1.5万/月
北京天融信科技有限公司,Python开发工程师,北京,1-1.5万/月
深圳市名扬科技服务有限公司,Python开发工程师,深圳-福田区,1-1.5万/月
辣之椒（上海）信息科技有限公司,Python高级开发工程师,上海-嘉定区,1.5-2万/月
上海华浪计算机科技有限公司,Python开发工程师,上海,0.8-1万/月
杭州砺石信息科技有限公司,Python开发工程师（Odoo）,杭州-西湖区,1.5-2万/月
北京红果科技有限公司,Python,北京-朝阳区,15-20万/年
北京欣如信科技有限公司,Python开发学徒（可实习可带）+6000起薪,郑州-二七区,6-8千/月
广州市长寿村饮品（连锁）有限公司,Go/Python语言开发工程师,广州-天河区,4-7千/月
石投金融,运维主管/python开发,上海-静安区,0.8-1.8万/月
上海天玑数据技术有限公司,Python开发工程师,上海,1.2-2.5万/月
紫梧桐（北京）资产管理有限公司,Python高级开发工程师（爬虫）,北京-东城区,1.5-3万/月
北京棣南新宇科技有限公司,Python高级开发工程师,北京-海淀区,1.5-2万/月
上海拍拍贷金融信息服务有限公司,大数据研发工程师-python,上海-浦东新区,1.5-2.5万/月
上海麦子资产管理有限公司,python 开发工程师,上海-浦东新区,1.5-2.5万/月
